Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,Media
2447917291,"Jun 13, 2019, 9:18:23 PM",Afternoon Run,Run,,1454,5.68,,,FALSE,,,activities/2447917291.gpx,68,,,1399,5688.4,5.5,,20.8,,239.4,250.9,7.4,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474807364,"Jun 23, 2019, 5:01:00 PM",Lunch Run,Run,,602,2.51,,,FALSE,,,activities/2474807364.gpx,68,,602,599,2517.2,7.1,,12.6,,246.8,255,3.3,0.1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496418196,"Jul 1, 2019, 10:30:52 PM",Afternoon Run,Run,,1428,5.77,,,FALSE,,,activities/2496418196.gpx,68,,1428,1416,5777.2,7.3,,33.1,,218.3,251.7,22.3,-0.2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504396262,"Jul 4, 2019, 6:02:30 PM",Afternoon Run,Run,,2150,8.07,,,FALSE,,,activities/2504396262.gpx,68,,2150,2137,8078,7.4,,41.6,,234.9,251.3,7.1,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512285975,"Jul 7, 2019, 2:55:10 PM",Morning Run,Run,,2079,7.86,,,FALSE,,,activities/2512285975.gpx,68,,2079,2052,7862.8,5.6,,83,,223.7,264.2,15.8,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515298525,"Jul 8, 2019, 5:48:58 PM",Lunch Run,Run,,2037,8.04,,,FALSE,,,activities/2515298525.gpx,68,,2037,2019,8041.5,6.4,,14.9,,219,227.8,8,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521654382,"Jul 9, 2019, 11:52:21 PM",Evening Run,Run,,77464,4.62,,,FALSE,,,activities/2521654382.gpx,68,,77464,1101,4621.8,11.9,,17.6,,247.6,255.4,11.7,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521717643,"Jul 10, 2019, 9:24:06 PM",Afternoon Run,Run,,2273,8.46,,,FALSE,,,activities/2521717643.gpx,68,,2273,2201,8460.6,5.4,,41.3,,238,255.2,11.8,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538512632,"Jul 16, 2019, 11:27:08 PM",Evening Run,Run,,2560,9.47,,,FALSE,,,activities/2538512632.gpx,68,,2560,2560,9476.2,5.4,,76.2,,231.4,268.2,18.1,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543416597,"Jul 18, 2019, 5:39:34 PM",Lunch Run,Run,,3056,11.09,,,FALSE,,,activities/2543416597.gpx,68,,3056,2869,11091,5.8,,61.5,,218.3,251.7,31.5,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2560092513,"Jul 24, 2019, 6:06:59 PM",Afternoon Run,Run,,4024,13.75,,,FALSE,,,activities/2560092513.gpx,68,,4024,3849,13751.4,5.4,,117.7,,224.1,268.2,14.9,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2568072586,"Jul 27, 2019, 6:12:01 PM",Afternoon Run,Run,,2270,7.38,,,FALSE,,,activities/2568072586.gpx,68,,2270,2137,7382.8,5.5,,78.5,,223.7,264.2,25.8,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2575937985,"Jul 30, 2019, 3:32:41 PM",Morning Run,Run,,2235,2.43,,,FALSE,,,activities/2575937985.gpx,68,,2235,687,2436.7,4.4,,9.6,,249.2,255,3.8,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
