Activity Date,Activity Type,Moving Time,weekday,month,year,day_of_year,Moving Time_normalized
2025-10-19 13:37:35,Hike,11853,6,10,2025,292,4.16031977187102
2025-10-18 18:37:34,Run,380,5,10,2025,291,-1.1723024752385534
2025-10-18 13:29:38,Hike,21695,5,10,2025,291,8.734857221191373
2025-10-17 17:12:20,Hike,12559,4,10,2025,290,4.4884668394609575
2025-10-16 20:02:20,Ride,6075,3,10,2025,289,1.4747195501505357
2025-10-14 23:01:35,Run,2169,1,10,2025,287,-0.34077966515583513
2025-10-14 03:16:36,Run,1738,1,10,2025,287,-0.5411074075513921
2025-10-12 22:48:33,Run,2491,6,10,2025,285,-0.19111485529186906
2025-10-11 17:55:07,Ride,9205,5,10,2025,284,2.9295358696356715
2025-10-11 02:38:42,Ride,1488,5,10,2025,284,-0.6573067940917384
2025-10-09 21:55:30,Run,3372,3,10,2025,282,0.21837178287631132
2025-10-09 00:01:08,Ride,2539,3,10,2025,282,-0.16880457307612257
2025-10-02 00:01:04,Swim,2341,3,10,2025,275,-0.2608344872160768
2025-09-30 21:44:49,Ride,2411,1,9,2025,273,-0.22829865898477988
2025-09-28 13:50:33,Run,194,6,9,2025,271,-1.258754818824571
2025-09-28 11:33:57,Run,4538,6,9,2025,271,0.7603257217004865
2025-09-28 11:12:36,Run,293,6,9,2025,271,-1.2127398617545937
2025-09-27 21:06:02,Run,869,5,9,2025,270,-0.9450164751656359
2025-09-26 20:26:37,Ride,4011,4,9,2025,269,0.5153774148734365
2025-09-25 19:44:35,Run,3603,3,9,2025,268,0.3257400160395913
2025-09-23 21:20:59,Ride,6889,1,9,2025,266,1.8530647527259032
2025-09-22 20:28:10,Run,2105,0,9,2025,265,-0.37052670811016375
2025-09-21 21:14:40,Ride,3242,6,9,2025,264,0.15794810187533123
2025-09-20 13:39:28,Run,2145,5,9,2025,263,-0.3519348062637084
2025-09-20 12:30:08,Ride,4101,5,9,2025,263,0.5572091940279612
2025-09-20 12:00:07,Swim,1678,5,9,2025,263,-0.5689952603210753
2025-09-19 21:16:16,Run,666,4,9,2025,262,-1.0393703770363971
2025-09-18 00:01:26,Swim,2279,3,9,2025,261,-0.28965193507808273
2025-09-16 22:38:34,Run,920,1,9,2025,259,-0.9213118003114052
2025-09-16 21:48:57,Ride,2800,1,9,2025,259,-0.04749241352800103
2025-09-14 12:12:42,Run,5356,6,9,2025,257,1.1405301144604996
2025-09-13 13:41:47,Ride,7051,5,9,2025,256,1.9283619552040479
2025-09-12 22:20:26,Run,1628,4,9,2025,255,-0.5922351376291445
2025-09-11 22:05:55,Run,2891,3,9,2025,254,-0.0051958368273149706
2025-09-11 00:00:03,Swim,2294,3,9,2025,254,-0.28267997188566196
2025-09-09 23:13:36,Run,1104,1,9,2025,252,-0.8357890518177103
2025-09-09 22:15:29,Ride,3378,1,9,2025,252,0.22116056815327964
2025-09-08 23:17:33,Run,2980,0,9,2025,251,0.03617114478104831
2025-09-07 11:50:01,Run,1023,6,9,2025,250,-0.8734376530567826
2025-09-07 11:15:25,Ride,2043,6,9,2025,250,-0.39934415597216966
2025-09-07 11:00:04,Swim,777,6,9,2025,250,-0.9877778494124834
2025-09-06 20:13:51,Run,1028,5,9,2025,249,-0.8711136653259757
2025-09-05 19:42:44,Ride,3312,4,9,2025,248,0.1904839301066282
2025-09-04 22:08:52,Run,2857,3,9,2025,247,-0.020998953396802068
2025-09-04 00:02:13,Swim,1705,3,9,2025,247,-0.5564457265747178
2025-09-02 20:42:49,Run,2603,1,9,2025,245,-0.13905753012179392
2025-09-01 16:34:49,Swim,2176,0,9,2025,244,-0.3375260823327054
2025-08-29 21:59:17,Ride,1331,4,8,2025,241,-0.730280008839076
2025-08-29 19:52:17,Ride,6380,4,8,2025,241,1.6164828017297581
2025-08-28 19:03:18,Run,3620,3,8,2025,240,0.33364157432433483
2025-08-27 23:09:58,Swim,1944,2,8,2025,239,-0.44535911304214676
2025-08-26 21:10:54,Ride,7154,1,8,2025,238,1.9762361024586705
2025-08-25 23:57:49,Run,2847,0,8,2025,237,-0.02564692885841592
2025-08-21 13:57:49,Ride,20951,3,8,2025,233,8.389047846847301
2025-08-20 18:37:18,Run,2101,2,8,2025,232,-0.3723858982948093
2025-08-19 21:16:06,Run,2690,1,8,2025,231,-0.0986201436057534
2025-08-18 22:01:42,Run,1441,0,8,2025,230,-0.6791522787613236
2025-08-17 13:09:30,Run,2593,6,8,2025,229,-0.14370550558340778
2025-08-15 15:37:36,Run,2754,4,8,2025,227,-0.06887310065142474
2025-08-14 20:30:52,Run,3159,3,8,2025,226,0.11936990554393627
2025-08-13 18:33:53,Run,5095,2,8,2025,225,1.019217954912378
2025-08-12 23:01:00,Ride,4290,1,8,2025,224,0.645055930252463
2025-08-12 20:02:04,Ride,4531,1,8,2025,224,0.7570721388773568
2025-08-11 21:29:18,Ride,6535,0,8,2025,223,1.6885264213847728
2025-08-10 18:33:16,Hike,6788,6,8,2025,222,1.8061202005636032
2025-08-08 20:52:03,Run,2414,4,8,2025,220,-0.22690426634629574
2025-08-07 19:05:06,Run,3491,3,8,2025,219,0.2736826908695162
2025-08-05 21:44:51,Ride,4202,1,8,2025,217,0.6041537461902611
2025-08-04 21:12:01,Run,2387,0,8,2025,216,-0.23945380009265313
2025-08-03 12:58:31,Ride,12925,6,8,2025,215,4.658582741356025
2025-07-31 23:04:42,Run,3658,3,7,2025,212,0.3513038810784675
2025-07-29 22:20:37,Run,3618,1,7,2025,210,0.33271197923201207
2025-07-28 23:10:39,Run,2779,0,7,2025,209,-0.05725316199739012
2025-07-26 19:04:36,Ride,9740,5,7,2025,207,3.1782025568320127
2025-07-24 22:14:23,Ride,4922,3,7,2025,205,0.9388079794264584
2025-07-24 00:23:37,Run,3687,3,7,2025,205,0.3647830099171477
2025-07-23 02:01:17,Run,2321,2,7,2025,204,-0.27013043813930454
2025-07-21 21:08:20,Run,1795,0,7,2025,202,-0.5146139474201932
2025-07-20 23:08:36,Run,2638,6,7,2025,201,-0.12278961600614544
2025-07-17 21:22:18,Run,2523,3,7,2025,198,-0.17624133381470472
2025-07-17 01:40:24,Ride,2760,3,7,2025,198,-0.06608431537445643
2025-07-14 12:22:27,Run,2459,0,7,2025,195,-0.2059883767690334
2025-07-10 01:30:17,Run,2286,3,7,2025,191,-0.286398352254953
2025-07-07 22:24:13,Ride,5183,0,7,2025,188,1.06012013897458
2025-07-06 13:17:13,Run,4372,6,7,2025,187,0.6831693290376966
2025-07-05 22:00:27,Run,1819,5,7,2025,186,-0.50345880631232
2025-07-04 16:59:49,Run,3325,4,7,2025,185,0.1965262982067262
2025-07-03 21:55:33,Ride,8230,3,7,2025,184,2.476358262128321
2025-07-01 21:18:39,Run,2058,1,7,2025,182,-0.3923721927797489
2025-06-29 17:55:28,Swim,168,6,6,2025,180,-1.2708395550247669
2025-06-29 16:34:29,Run,1763,6,6,2025,180,-0.5294874688973575
2025-06-27 17:26:22,Run,2778,4,6,2025,178,-0.0577179595435515
2025-06-26 00:26:03,Run,961,3,6,2025,177,-0.9022551009187885
2025-06-25 22:32:18,Ride,5748,2,6,2025,176,1.3227307525557626
2025-06-23 17:44:59,Ride,10971,0,6,2025,174,3.750368336156678
2025-06-22 21:04:56,Run,3418,6,6,2025,173,0.23975246999973504
2025-06-21 21:02:25,Ride,478,5,6,2025,172,-1.1267523157147374
2025-06-21 17:03:04,Ride,6308,5,6,2025,172,1.5830173784061383
2025-06-20 23:41:46,Run,2075,4,6,2025,171,-0.3844706344950053
2025-06-19 16:14:31,Swim,222,3,6,2025,170,-1.2457404875320521
2025-06-19 01:08:30,Ride,1951,3,6,2025,170,-0.4421055302190171
2025-06-18 22:08:18,Ride,1559,2,6,2025,169,-0.6243061683142801
2025-06-15 14:30:28,Ride,3923,6,6,2025,166,0.4744752308112346
2025-06-14 18:00:40,Swim,394,5,6,2025,165,-1.165795309592294
